index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,listeners,listeners ,Field,,,,,89,2,2,,"private List<ScOtrEngineListener> listeners =
        new Vector<ScOtrEngineListener>();",False,False,,False,
2,addListener(ScOtrEngineListener),add listener l ,Method,,,java.util.List+add(E) java.util.List+add(E),net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+listeners,87,4,1,,"public void addListener(ScOtrEngineListener l)
    {
        listeners.add(l);
    }",False,False,This method adds a listener to a list of listeners in a class called ScOtrEngineListener.,True,"The code defines a method called ""addListener"" that takes a parameter of type ""ScOtrEngineListener"". This method adds the provided listener to a collection called ""listeners""."
3,removeListener(ScOtrEngineListener),remove listener l ,Method,,,java.util.List+remove(Object) java.util.List+remove(Object),net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+listeners,93,4,1,,"public void removeListener(ScOtrEngineListener l)
    {
        listeners.remove(l);
    }",False,False,This method removes a listener from a list of listeners in a ScOtrEngineListener object.,False,"The code defines a method called ""removeListener"" that takes a parameter of type ""ScOtrEngineListener"". This method removes the specified listener from a collection called ""listeners""."
4,injectedMessageUIDs,injected message ui ds ,Field,,,,,64,1,2,,private List<String> injectedMessageUIDs = new Vector<String>();,False,False,,False,
5,isMessageUIDInjected(String),is message uid injected m uid ,Method,,,java.util.List+contains(Object) java.util.List+contains(Object),net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+injectedMessageUIDs,114,4,1,,"public boolean isMessageUIDInjected(String mUID)
    {
        return injectedMessageUIDs.contains(mUID);
    }",False,False,This method checks if a given message UID is present in a collection of injected message UIDs and returns a boolean value indicating the result.,True,"The given code defines a method named ""isMessageUIDInjected"" that takes a string parameter ""mUID"". It checks if the ""mUID"" is present in the ""injectedMessageUIDs"" collection and returns a boolean value indicating whether it is present or not."
6,ScOtrKeyManager,sc otr key manager ,MemberClass,,,net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrKeyManager+getKeyPair(SessionID) net.java.otr4j.session.SessionID+getAccountID() net.java.otr4j.session.SessionID+getAccountID() net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadKeyPair(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadKeyPair(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+generateKeyPair(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+generateKeyPair(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadKeyPair(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadKeyPair(String),,385,13,0,,"class ScOtrKeyManager
        implements OtrKeyManager
    {
        public KeyPair getKeyPair(SessionID sessionID)
        {
            String accountID = sessionID.getAccountID();
            KeyPair keyPair = loadKeyPair(accountID);
            if (keyPair == null)
                generateKeyPair(accountID);

            return loadKeyPair(accountID);
        }
    }",False,False,,False,
7,ScOtrEngineHost,sc otr engine host ,MemberClass,,,"net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrEngineHost+showWarning(SessionID,String) java.util.Map+get(Object) java.util.Map+get(Object) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrEngineHost+showError(SessionID,String) java.util.Map+get(Object) java.util.Map+get(Object) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrEngineHost+injectMessage(SessionID,String) java.util.Map+get(Object) java.util.Map+get(Object) net.java.sip.communicator.service.protocol.ProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.Contact+getProtocolProvider() net.java.sip.communicator.service.protocol.Contact+getProtocolProvider() net.java.sip.communicator.service.protocol.ProtocolProviderService+getOperationSet(Class<? extends OperationSet>) net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+createMessage(String) net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+createMessage(String) java.util.List+add(E) java.util.List+add(E) net.java.sip.communicator.service.protocol.Message+getMessageUID() net.java.sip.communicator.service.protocol.Message+getMessageUID() net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+sendInstantMessage(Contact,Message) net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+sendInstantMessage(Contact,Message) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrEngineHost+getSessionPolicy(SessionID) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+getContactPolicy(Contact) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+getContactPolicy(Contact) java.util.Map+get(Object) java.util.Map+get(Object) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.ScOtrEngineHost+sessionStatusChanged(SessionID) java.util.Map+get(Object) java.util.Map+get(Object) net.java.otr4j.OtrEngine+getSessionStatus(SessionID) net.java.otr4j.OtrEngine+getSessionStatus(SessionID) net.java.otr4j.OtrEngine+getRemotePublicKey(SessionID) net.java.otr4j.OtrEngine+getRemotePublicKey(SessionID) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadPublicKey(String) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+loadPublicKey(String) net.java.otr4j.session.SessionID+getUserID() net.java.otr4j.session.SessionID+getUserID() java.lang.Object+equals(Object) java.lang.Object+equals(Object) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+savePublicKey(String,PublicKey) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+savePublicKey(String,PublicKey) net.java.otr4j.session.SessionID+getUserID() net.java.otr4j.session.SessionID+getUserID() net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+isContactVerified(Contact) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+isContactVerified(Contact) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+isContactVerified(Contact) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+isContactVerified(Contact) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.resources.ResourceManagementService+getI18NString(String,String[]) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.UIService+getChat(Contact) net.java.sip.communicator.service.gui.Chat+addMessage(String,long,String,String,String) net.java.sip.communicator.service.protocol.Contact+getDisplayName() net.java.sip.communicator.service.protocol.Contact+getDisplayName() java.lang.System+currentTimeMillis() java.lang.System+currentTimeMillis() net.java.sip.communicator.plugin.otr.ScOtrEngineListener+sessionStatusChanged(Contact) net.java.sip.communicator.plugin.otr.ScOtrEngineListener+sessionStatusChanged(Contact)",net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+contactsMap net.java.sip.communicator.plugin.otr.OtrActivator+uiService net.java.sip.communicator.service.gui.Chat+SYSTEM_MESSAGE net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+DEFAULT_MIME_TYPE net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+contactsMap net.java.sip.communicator.plugin.otr.OtrActivator+uiService net.java.sip.communicator.service.gui.Chat+ERROR_MESSAGE net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+DEFAULT_MIME_TYPE net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+contactsMap net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+injectedMessageUIDs net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+contactsMap net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+contactsMap net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+otrEngine net.java.otr4j.session.SessionStatus+ENCRYPTED net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+otrEngine net.java.sip.communicator.plugin.otr.OtrActivator+resourceService net.java.sip.communicator.plugin.otr.OtrActivator+uiService net.java.sip.communicator.service.gui.Chat+SYSTEM_MESSAGE net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+HTML_MIME_TYPE net.java.sip.communicator.plugin.otr.OtrActivator+resourceService net.java.otr4j.session.SessionStatus+FINISHED net.java.sip.communicator.plugin.otr.OtrActivator+resourceService net.java.otr4j.session.SessionStatus+PLAINTEXT net.java.sip.communicator.plugin.otr.OtrActivator+resourceService net.java.sip.communicator.plugin.otr.OtrActivator+uiService net.java.sip.communicator.service.gui.Chat+SYSTEM_MESSAGE net.java.sip.communicator.service.protocol.OperationSetBasicInstantMessaging+HTML_MIME_TYPE net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+listeners,4479,111,0,,"class ScOtrEngineHost
        implements OtrEngineHost
    {
        public void showWarning(SessionID sessionID, String warn)
        {
            Contact contact = contactsMap.get(sessionID);
            if (contact == null)
                return;

            OtrActivator.uiService.getChat(contact).addMessage(
                contact.getDisplayName(), System.currentTimeMillis(),
                Chat.SYSTEM_MESSAGE, warn,
                OperationSetBasicInstantMessaging.DEFAULT_MIME_TYPE);
        }

        public void showError(SessionID sessionID, String err)
        {
            Contact contact = contactsMap.get(sessionID);
            if (contact == null)
                return;

            OtrActivator.uiService.getChat(contact).addMessage(
                contact.getDisplayName(), System.currentTimeMillis(),
                Chat.ERROR_MESSAGE, err,
                OperationSetBasicInstantMessaging.DEFAULT_MIME_TYPE);
        }

        public void injectMessage(SessionID sessionID, String messageText)
        {
            Contact contact = contactsMap.get(sessionID);
            OperationSetBasicInstantMessaging imOpSet =
                (OperationSetBasicInstantMessaging) contact
                    .getProtocolProvider().getOperationSet(
                        OperationSetBasicInstantMessaging.class);

            Message message = imOpSet.createMessage(messageText);
            injectedMessageUIDs.add(message.getMessageUID());
            imOpSet.sendInstantMessage(contact, message);
        }

        public OtrPolicy getSessionPolicy(SessionID sessionID)
        {
            return getContactPolicy(contactsMap.get(sessionID));
        }

        public void sessionStatusChanged(SessionID sessionID)
        {
            Contact contact = contactsMap.get(sessionID);
            if (contact == null)
                return;

            String message = """";
            switch (otrEngine.getSessionStatus(sessionID))
            {
            case ENCRYPTED:
                PublicKey remotePubKey =
                    otrEngine.getRemotePublicKey(sessionID);

                PublicKey storedPubKey = loadPublicKey(sessionID.getUserID());

                if (!remotePubKey.equals(storedPubKey))
                    savePublicKey(sessionID.getUserID(), remotePubKey);

                if (!isContactVerified(contact))
                {
                    String unverifiedSessionWarning =
                        OtrActivator.resourceService.getI18NString(
                            ""plugin.otr.activator.unverifiedsessionwarning"",
                            new String[]
                            { contact.getDisplayName() });

                    OtrActivator.uiService.getChat(contact).addMessage(
                        contact.getDisplayName(), System.currentTimeMillis(),
                        Chat.SYSTEM_MESSAGE, unverifiedSessionWarning,
                        OperationSetBasicInstantMessaging.HTML_MIME_TYPE);

                }
                message =
                    OtrActivator.resourceService
                        .getI18NString(
                            (isContactVerified(contact)) ? ""plugin.otr.activator.sessionstared""
                                : ""plugin.otr.activator.unverifiedsessionstared"",
                            new String[]
                            { contact.getDisplayName() });

                break;
            case FINISHED:
                message =
                    OtrActivator.resourceService.getI18NString(
                        ""plugin.otr.activator.sessionfinished"", new String[]
                        { contact.getDisplayName() });
                break;
            case PLAINTEXT:
                message =
                    OtrActivator.resourceService.getI18NString(
                        ""plugin.otr.activator.sessionlost"", new String[]
                        { contact.getDisplayName() });
                break;
            }

            OtrActivator.uiService.getChat(contact).addMessage(
                contact.getDisplayName(), System.currentTimeMillis(),
                Chat.SYSTEM_MESSAGE, message,
                OperationSetBasicInstantMessaging.HTML_MIME_TYPE);

            for (ScOtrEngineListener l : listeners)
            {
                l.sessionStatusChanged(contact);
            }
        }
    }",False,False,,False,
8,otrEngine,otr engine ,Field,,,,,103,2,2,,"private OtrEngine otrEngine =
        new OtrEngineImpl(new ScOtrEngineHost(), new ScOtrKeyManager());",False,False,,False,
9,isContactVerified(Contact),is contact verified contact ,Method,ScOtrEngineHost.sessionStatusChanged(SessionID) ScOtrEngineHost.sessionStatusChanged(SessionID) verifyContactFingerprint(Contact) forgetContactFingerprint(Contact),,"net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.Configurator+getPropertyBoolean(String,boolean) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl.Configurator+getPropertyBoolean(String,boolean) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+getSessionID(Contact) net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+getSessionID(Contact)",net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+configurator net.java.sip.communicator.plugin.otr.ScOtrEngineImpl+configurator,183,5,1,,"public boolean isContactVerified(Contact contact)
    {
        return this.configurator.getPropertyBoolean(getSessionID(contact)
            + ""publicKey.verified"", false);
    }",False,False,"This method checks if the contact's public key is verified by retrieving a boolean property from the configurator using the contact's session ID. It returns true if the property is set to true, otherwise it returns false.",True,"The given code defines a method named ""isContactVerified"" that takes a Contact object as a parameter. It retrieves a boolean value from a configuration property based on the session ID of the contact's public key, indicating whether the contact is verified or not. The method returns this boolean value."
10,contactsMap,contacts map ,Field,,,,,74,1,0,,"Map<SessionID, Contact> contactsMap = new Hashtable<SessionID, Contact>();",False,False,,False,
