index,name,document,type,inner invocations,external invocations,calls,visits,length,lines,modifier,commit,full text,moved,removed,gpt text,gpt response,code summary
1,OnCompositionLoadedListener,on composition loaded listener ,MemberClass,,,com.airbnb.lottie.LottieComposition.OnCompositionLoadedListener+onCompositionLoaded(LottieComposition),,111,3,1,,"public interface OnCompositionLoadedListener {
    void onCompositionLoaded(LottieComposition composition);
  }",False,False,,False,
2,Cancellable,cancellable ,MemberClass,,,com.airbnb.lottie.LottieComposition.Cancellable+cancel(),,46,3,0,,"interface Cancellable {
    void cancel();
  }",False,False,,False,
3,MAX_PIXELS,max pixels the largest bitmap drawing cache can be is 8 294 400 bytes there are 4 bytes per pixel leaving 2 3 m pixels available reduce the number a little bit for safety hopefully this can be hardware accelerated someday ,Field,,,,,299,8,26,"/** 
 * The largest bitmap drawing cache can be is 8,294,400 bytes. There are 4 bytes per pixel leaving ~2.3M pixels available. Reduce the number a little bit for safety. <p> Hopefully this can be hardware accelerated someday.
 */
","/**
   * The largest bitmap drawing cache can be is 8,294,400 bytes. There are 4 bytes per pixel
   * leaving ~2.3M pixels available.
   * Reduce the number a little bit for safety.
   * <p>
   * Hopefully this can be hardware accelerated someday.
   */
  private static final int MAX_PIXELS = 1000;",False,False,"/** 
 * The largest bitmap drawing cache can be is 8,294,400 bytes. There are 4 bytes per pixel leaving ~2.3M pixels available. Reduce the number a little bit for safety. <p> Hopefully this can be hardware accelerated someday.
 */
",False,"/** 
 * The largest bitmap drawing cache can be is 8,294,400 bytes. There are 4 bytes per pixel leaving ~2.3M pixels available. Reduce the number a little bit for safety. <p> Hopefully this can be hardware accelerated someday.
 */
"
4,"fromAssetFileName(Context,String,OnCompositionLoadedListener)",from asset file name context file name loaded listener loads a composition from a file stored in assets ,Method,,"com.airbnb.lottie.LottieAnimationView+setAnimation(String,CacheStrategy) com.airbnb.lottie.samples.AnimationFragment+onActivityResult(int,int,Intent) com.airbnb.lottie.samples.LottieFontViewGroup+init() com.airbnb.lottie.samples.LottieFontViewGroup+onKeyUp(int,KeyEvent)","java.lang.IllegalStateException+IllegalStateException(String,Throwable) com.airbnb.lottie.LottieComposition+fromInputStream(Context,InputStream,OnCompositionLoadedListener) com.airbnb.lottie.LottieComposition+fromInputStream(Context,InputStream,OnCompositionLoadedListener)",,460,13,9,"/** 
 * Loads a composition from a file stored in /assets.
 */
","/**
   * Loads a composition from a file stored in /assets.
   */
  public static Cancellable fromAssetFileName(Context context, String fileName,
      OnCompositionLoadedListener loadedListener) {
    InputStream stream;
    try {
      stream = context.getAssets().open(fileName);
    } catch (IOException e) {
      throw new IllegalStateException(""Unable to find file "" + fileName, e);
    }
    return fromInputStream(context, stream, loadedListener);
  }",True,True,"This method loads a composition from a file stored in the /assets directory. It takes a Context, a file name, and a listener as parameters. It opens the file as an InputStream and then calls another method to load the composition from the InputStream.",True,"This code defines a method called ""fromAssetFileName"" that loads a composition from a file stored in the /assets directory of the Android application. It takes a Context object, a file name, and a listener as parameters, and returns a Cancellable object. The method opens the file as an InputStream and then calls another method called ""fromInputStream"" to process the stream and load the composition."
5,"fromInputStream(Context,InputStream,OnCompositionLoadedListener)",from input stream context stream loaded listener loads a composition from an arbitrary input stream ex from input stream context new file input stream file path composition ,Method,"fromAssetFileName(Context,String,OnCompositionLoadedListener)",com.airbnb.lottie.samples.AnimationFragment+onFileLoaded(Uri),"com.airbnb.lottie.LottieComposition.FileCompositionLoader+FileCompositionLoader(Resources,OnCompositionLoadedListener)",,456,12,9,"/** 
 * Loads a composition from an arbitrary input stream. <p> ex: fromInputStream(context, new FileInputStream(filePath), (composition) -> {});
 */
","/**
   * Loads a composition from an arbitrary input stream.
   * <p>
   * ex: fromInputStream(context, new FileInputStream(filePath), (composition) -> {});
   */
  public static Cancellable fromInputStream(Context context, InputStream stream,
      OnCompositionLoadedListener loadedListener) {
    FileCompositionLoader loader =
        new FileCompositionLoader(context.getResources(), loadedListener);
    loader.execute(stream);
    return loader;
  }",True,True,"This method loads a composition from an input stream. It takes a context, an input stream, and a listener as parameters. It creates a FileCompositionLoader, executes it with the input stream, and returns the loader.",True,"The code defines a static method ""fromInputStream"" that loads a composition from an input stream. It takes a context, an input stream, and a listener as parameters, and returns a cancellable object. The method internally creates a FileCompositionLoader and executes it with the provided input stream."
6,"fromFileSync(Context,String)",from file sync context file name ,Method,,"com.airbnb.lottie.LottieTest+testAnimation(MainActivity,String,String,float[])","java.lang.IllegalStateException+IllegalStateException(String,Throwable) com.airbnb.lottie.LottieComposition+fromInputStream(Resources,InputStream) com.airbnb.lottie.LottieComposition+fromInputStream(Resources,InputStream)",,329,9,8,,"static LottieComposition fromFileSync(Context context, String fileName) {
    InputStream file;
    try {
      file = context.getAssets().open(fileName);
    } catch (IOException e) {
      throw new IllegalStateException(""Unable to find file "" + fileName, e);
    }
    return fromInputStream(context.getResources(), file);
  }",False,True,This method takes a context and a file name as input. It tries to open the file using the context's assets and returns a LottieComposition object by reading the file as an input stream.,True,The given code is a static method that takes a context and a file name as input parameters. It opens the specified file from the assets folder of the context and returns a LottieComposition object by passing the file input stream to another method called fromInputStream().
7,"fromJson(Resources,JSONObject,OnCompositionLoadedListener)",from json res json loaded listener loads a composition from a raw json object this is useful for animations loaded from the network ,Method,,"com.airbnb.lottie.LottieAnimationView+setAnimation(JSONObject) com.airbnb.lottie.samples.AnimationFragment+onResponse(Call,Response)","com.airbnb.lottie.LottieComposition.JsonCompositionLoader+JsonCompositionLoader(Resources,OnCompositionLoadedListener)",,371,10,9,"/** 
 * Loads a composition from a raw json object. This is useful for animations loaded from the network.
 */
","/**
   * Loads a composition from a raw json object. This is useful for animations loaded from the
   * network.
   */
  public static Cancellable fromJson(Resources res, JSONObject json,
      OnCompositionLoadedListener loadedListener) {
    JsonCompositionLoader loader = new JsonCompositionLoader(res, loadedListener);
    loader.execute(json);
    return loader;
  }",True,True,"The function of this method is to load a composition from a raw JSON object. It takes a Resources object, a JSONObject, and an OnCompositionLoadedListener as parameters. It creates a JsonCompositionLoader, executes it with the given JSON object, and returns the loader.",True,"This code defines a static method called ""fromJson"" that takes a Resources object, a JSONObject, and an OnCompositionLoadedListener as parameters. It creates a JsonCompositionLoader object, executes it with the given JSONObject, and returns the loader. This method is used to load a composition from a raw JSON object, typically for animations loaded from the network."
8,"fromInputStream(Resources,InputStream)",from input stream res file ,Method,"fromFileSync(Context,String) FileCompositionLoader.doInBackground(InputStream)",,"java.io.InputStream+available() java.io.InputStream+available() java.io.InputStream+read(byte[]) java.io.InputStream+read(byte[]) java.io.InputStream+close() java.io.InputStream+close() java.lang.String+String(byte[],String) com.airbnb.lottie.LottieComposition+fromJsonSync(Resources,JSONObject) com.airbnb.lottie.LottieComposition+fromJsonSync(Resources,JSONObject) java.lang.IllegalStateException+IllegalStateException(String,Throwable) java.lang.IllegalStateException+IllegalStateException(String,Throwable)",,654,18,8,,"@SuppressWarnings(""WeakerAccess"")
  static LottieComposition fromInputStream(Resources res, InputStream file) {
    try {
      int size = file.available();
      byte[] buffer = new byte[size];
      //noinspection ResultOfMethodCallIgnored
      file.read(buffer);
      file.close();
      String json = new String(buffer, ""UTF-8"");

      JSONObject jsonObject = new JSONObject(json);
      return LottieComposition.fromJsonSync(res, jsonObject);
    } catch (IOException e) {
      throw new IllegalStateException(""Unable to find file."", e);
    } catch (JSONException e) {
      throw new IllegalStateException(""Unable to load JSON."", e);
    }
  }",True,True,"This method reads a JSON file from an input stream, converts it to a string, creates a JSON object from the string, and returns a LottieComposition object using the JSON object. It handles exceptions for file not found and invalid JSON.",True,"This code defines a static method called `fromInputStream` that takes a `Resources` object and an `InputStream` object as parameters. It reads the contents of the input stream into a byte array, converts it to a JSON string, creates a `JSONObject` from the string, and returns a `LottieComposition` object by calling a method `fromJsonSync` with the `Resources` object and the `JSONObject` as arguments."
9,"fromJsonSync(Resources,JSONObject)",from json sync res json ,Method,"fromInputStream(Resources,InputStream) JsonCompositionLoader.doInBackground(JSONObject)",,"com.airbnb.lottie.LottieComposition+LottieComposition(Resources) java.lang.Math+max(int,int) java.lang.Math+max(int,int) java.lang.Math+max(int,int) java.lang.Math+max(int,int) com.airbnb.lottie.Layer+Layer(JSONObject,LottieComposition) com.airbnb.lottie.LottieComposition+addLayer(LottieComposition,Layer) com.airbnb.lottie.LottieComposition+addLayer(LottieComposition,Layer) com.airbnb.lottie.LottieComposition+parsePrecomps(LottieComposition,JSONArray) com.airbnb.lottie.LottieComposition+parsePrecomps(LottieComposition,JSONArray) com.airbnb.lottie.LottieComposition+parseImages(LottieComposition,JSONArray) com.airbnb.lottie.LottieComposition+parseImages(LottieComposition,JSONArray)",com.airbnb.lottie.LottieComposition+scale com.airbnb.lottie.LottieComposition+scale com.airbnb.lottie.LottieComposition+MAX_PIXELS com.airbnb.lottie.LottieComposition+MAX_PIXELS com.airbnb.lottie.LottieComposition+scale com.airbnb.lottie.LottieComposition+bounds com.airbnb.lottie.LottieComposition+startFrame com.airbnb.lottie.LottieComposition+endFrame com.airbnb.lottie.LottieComposition+frameRate,1292,34,8,,"@SuppressWarnings(""WeakerAccess"")
  static LottieComposition fromJsonSync(Resources res, JSONObject json) {
    LottieComposition composition = new LottieComposition(res);

    int width = json.optInt(""w"", -1);
    int height = json.optInt(""h"", -1);
    if (width != -1 && height != -1) {
      int scaledWidth = (int) (width * composition.scale);
      int scaledHeight = (int) (height * composition.scale);
      if (Math.max(scaledWidth, scaledHeight) > MAX_PIXELS) {
        float factor = (float) MAX_PIXELS / (float) Math.max(scaledWidth, scaledHeight);
        scaledWidth *= factor;
        scaledHeight *= factor;
        composition.scale *= factor;
      }
      composition.bounds = new Rect(0, 0, scaledWidth, scaledHeight);
    }

    composition.startFrame = json.optLong(""ip"", 0);
    composition.endFrame = json.optLong(""op"", 0);
    composition.frameRate = json.optInt(""fr"", 0);

    JSONArray jsonLayers = json.optJSONArray(""layers"");
    for (int i = 0; i < jsonLayers.length(); i++) {
      Layer layer = new Layer(jsonLayers.optJSONObject(i), composition);
      addLayer(composition, layer);
    }

    JSONArray assetsJson = json.optJSONArray(""assets"");
    parsePrecomps(composition, assetsJson);
    parseImages(composition, assetsJson);

    return composition;
  }",True,True,"This method parses a JSON object and creates a LottieComposition object. It sets the width, height, bounds, start frame, end frame, frame rate, layers, and assets of the composition based on the JSON data.",True,"This code defines a static method called `fromJsonSync` that takes a `Resources` object and a `JSONObject` as parameters. It creates a `LottieComposition` object, sets its properties based on the values in the JSON, creates and adds layers to the composition, and parses precomps and images from the JSON. Finally, it returns the created `LottieComposition` object."
10,"parsePrecomps(LottieComposition,JSONArray)",parse precomps composition assets json ,Method,"fromJsonSync(Resources,JSONObject)",,"com.airbnb.lottie.Layer+Layer(JSONObject,LottieComposition) com.airbnb.lottie.Layer+getId() com.airbnb.lottie.Layer+getId() java.util.List+add(E) java.util.List+add(E) java.util.Map+put(K,V) java.util.Map+put(K,V)",com.airbnb.lottie.LottieComposition+precomps,756,18,10,,"private static void parsePrecomps(LottieComposition composition, JSONArray assetsJson) {
    for (int i = 0; i < assetsJson.length(); i++) {
      JSONObject assetJson = assetsJson.optJSONObject(i);
      JSONArray layersJson = assetJson.optJSONArray(""layers"");
      if (layersJson == null) {
        continue;
      }
      List<Layer> layers = new ArrayList<>(layersJson.length());
      LongSparseArray<Layer> layerMap = new LongSparseArray<>();
      for (int j = 0; j < layersJson.length(); j++) {
        Layer layer = new Layer(layersJson.optJSONObject(j), composition);
        layerMap.put(layer.getId(), layer);
        layers.add(layer);
      }
      String id = assetJson.optString(""id"");
      composition.precomps.put(id, layers);
    }
  }",True,True,"This method parses a JSON array of assets and creates layers for each asset. It then adds the layers to a precomps map in the LottieComposition object, using the asset's ID as the key.",True,"This code parses a JSON array of assets and creates a list of layers for each asset. It then adds the list of layers to a precomps map in the LottieComposition object, using the asset's ID as the key."
